symbol,name,close_price,volume,vol_vs_avg,change_in_percent,days_old
PRGS,Progress Software Corporation,31.56,570541,1.9,1.91,411
CUDA,"Baracuda Networks, Inc.",23.85,829390,1.65,5.53,402
ALSN,"Allison Transmission Holdings, Inc.",38.03,2042006,1.46,1.47,407
EQT,EQT Corporation,58.74,5472775,1.38,-0.44,400
COTV,"Cotiviti Holdings, Inc.",39.62,396059,1.36,4.98,285
COO,"Cooper Companies, Inc. (The)",242.73,580456,1.33,2.77,403
WBC,Wabco Holdings Inc.,129.21,613777,1.24,0.77,404
XPER,Xperi Corporation ,33.45,536022,1.2,2.76,404
EV,Eaton Vance Corporation,47.52,754452,1.2,1.45,400
JBHT,"J.B. Hunt Transport Services, Inc.",93.65,1111461,1.19,1.52,415
ARCH,"Arch Coal, Inc.",69.64,560257,1.16,1.29,194
IVZ,Invesco Plc,35.92,2957473,1.16,2.16,415
CAR,"Avis Budget Group, Inc.",28.61,4402099,1.13,5.22,410
LPLA,LPL Financial Holdings Inc.,42.55,733276,1.11,0.97,413
HRC,Hill-Rom Holdings Inc,81.88,502423,1.1,2.62,416
FCF,First Commonwealth Financial Corporation,13.05,517335,1.09,2.92,418
EVH,"Evolent Health, Inc",25.65,1259800,1.09,4.48,400
HRS,Harris Corporation,112.81,994815,1.09,2.29,416
RHI,Robert Half International Inc.,49.17,988318,1.07,2.5,410
HQY,"HealthEquity, Inc.",50.19,522122,1.06,3.91,416
SLF,Sun Life Financial Inc.,36.2,547792,1.06,0.89,408
TRN,"Trinity Industries, Inc.",27.7486,1255836,1.06,0.76,408
MAN,ManpowerGroup,114.95,503625,1.05,2.9,413
KRNY,Kearny Financial,15.25,425378,1.03,2.69,414
KBH,KB Home,24.06,2486762,1.03,2.73,414
DB,Deutsche Bank AG,19.05,4585739,1.01,0.85,402
TNET,"TriNet Group, Inc.",32.99,251230,1.0,2.33,408
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",42.6,726894,0.99,3.52,406
TM,Toyota Motor Corporation,108.47,244383,0.98,0.95,408
REI,"Ring Energy, Inc.",12.92,433140,0.98,0.7,410
WAFD,"Washington Federal, Inc.",33.5,384009,0.97,1.67,404
DGI,"DigitalGlobe, Inc",33.4,405200,0.97,1.06,402
SEIC,SEI Investments Company,54.08,536475,0.97,1.31,409
UHS,"Universal Health Services, Inc.",122.04,664327,0.97,1.92,407
AA,Alcoa Inc.,34.19,3775650,0.96,0.89,407
STI,"SunTrust Banks, Inc.",57.77,3245364,0.95,0.71,408
EWBC,"East West Bancorp, Inc.",59.38,1193551,0.94,-0.29,400
SKYW,"SkyWest, Inc.",36.8,268431,0.94,4.4,408
TRNO,Terreno Realty Corporation,33.8,373882,0.93,2.83,408
BBL,BHP Billiton plc Sponsored ADR,32.28,1454402,0.93,0.59,405
CAE,CAE Inc.,17.49,254949,0.93,1.22,404
TD,Toronto Dominion Bank (The),50.53,1483286,0.92,0.6,408
GEL,"Genesis Energy, L.P.",31.25,414365,0.91,0.03,418
CATY,Cathay General Bancorp,38.07,397815,0.91,1.68,404
WRK,Westrock Company,57.31,1169608,0.9,1.6,404
SC,Santander Consumer USA Holdings Inc.,13.09,2277394,0.9,1.55,409
LEG,"Leggett & Platt, Incorporated",52.86,828890,0.9,1.36,414
TVTY,"Tivity Health, Inc.",39.8,441390,0.89,2.84,408
PNC,"PNC Financial Services Group, Inc. (The)",126.54,1765510,0.88,0.42,411
KEY,KeyCorp,19.22,8531231,0.88,1.16,414
